Category,Country,Region,Site_Name,Year,Danger,Longitude,Latitude,Area,Age,Area_Category,Danger_Status,Decade
Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Dorset and East Devon Coast,2001,0,-2.989888889,50.70555556,2550.0,25,Small,Safe,2000
Cultural,Austria,Europe and North America,Historic Centre of Vienna,2001,1,16.38333333,48.21666667,371.0,25,Small,In Danger,2000
Cultural,Israel,Europe and North America,Masada,2001,0,35.35275,31.3135,276.0,25,Small,Safe,2000
Natural,Switzerland,Europe and North America,Swiss Alps Jungfrau-Aletsch,2001,0,8.033333333,46.5,82400.0,25,Medium,Safe,2000
Cultural,Czechia,Europe and North America,Tugendhat Villa in Brno,2001,0,16.61605556,49.20718333,0.73,25,Small,Safe,2000
Cultural,Spain,Europe and North America,Aranjuez Cultural Landscape,2001,0,-3.60934,40.03645,2047.5601,25,Small,Safe,2000
Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,New Lanark,2001,0,-3.783055556,55.66333333,146.0,25,Small,Safe,2000
Natural,Brazil,Latin America and the Caribbean,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2001,0,-32.42511111,-3.857944444,42270.0,25,Medium,Safe,2000
Cultural,Germany,Europe and North America,Zollverein Coal Mine Industrial Complex in Essen,2001,0,7.046111111,51.49138889,0.0,25,Small,Safe,2000
Cultural,Morocco,Arab States,Medina of Essaouira (formerly Mogador),2001,0,-9.770305556,31.51411111,56.7,25,Small,Safe,2000
Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Saltaire,2001,0,-1.788333333,53.83916667,20.0,25,Small,Safe,2000
Cultural,France,Europe and North America,"Provins, Town of Medieval Fairs",2001,0,3.298888889,48.55972222,108.0,25,Small,Safe,2000
Cultural,Brazil,Latin America and the Caribbean,Historic Centre of the Town of Goiás,2001,0,-50.13336,-15.93328,40.3,25,Small,Safe,2000
Cultural,Italy,Europe and North America,"Villa d'Este, Tivoli",2001,0,12.79625,41.96391667,4.5,25,Small,Safe,2000
Cultural,Portugal,Europe and North America,Alto Douro Wine Region,2001,0,-7.798888889,41.10166667,24600.0,25,Medium,Safe,2000
Cultural,Portugal,Europe and North America,Historic Centre of Guimarães,2001,0,-8.292803,41.443731,19.45,25,Small,Safe,2000
Cultural,China,Asia and the Pacific,Yungang Grottoes,2001,0,113.12222,40.10972,348.75,25,Small,Safe,2000
Cultural,Madagascar,Africa,Royal Hill of Ambohimanga,2001,0,47.56278,-18.75917,59.0,25,Small,Safe,2000
Cultural,Uzbekistan,Asia and the Pacific,Samarkand  – Crossroad of Cultures,2001,0,67.0,39.66861,1123.0,25,Small,Safe,2000
Cultural,Sweden,Europe and North America,Mining Area of the Great Copper Mountain in Falun,2001,0,15.63083,60.60472,42.82,25,Small,Safe,2000
Cultural,Italy,Europe and North America,Late Baroque Towns of the Val di Noto (South-Eastern Sicily),2002,0,15.06891667,36.89319444,112.79,24,Small,Safe,2000
Cultural,Suriname,Latin America and the Caribbean,Historic Inner City of Paramaribo,2002,0,-55.15,5.82611,30.0,24,Small,Safe,2000
Cultural,Germany,Europe and North America,Upper Middle Rhine Valley,2002,0,7.694166667,50.17361111,27250.0,24,Medium,Safe,2000
Cultural,Afghanistan,Asia and the Pacific,Minaret and Archaeological Remains of Jam,2002,1,64.51588889,34.39641667,70.0,24,Small,In Danger,2000
Cultural,India,Asia and the Pacific,Mahabodhi Temple Complex at Bodh Gaya,2002,0,84.99389,24.69528,4.86,24,Small,Safe,2000
Mixed,Mexico,Latin America and the Caribbean,"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",2002,0,-89.73728333,18.05302778,331397.0,24,Large,Safe,2000
Cultural,Hungary,Europe and North America,Tokaj Wine Region Historic Cultural Landscape,2002,0,21.35,48.15,13255.0,24,Medium,Safe,2000
Cultural,Egypt,Arab States,Saint Catherine Area,2002,0,33.97543,28.55623,60100.0,24,Medium,Safe,2000
Cultural,Germany,Europe and North America,Historic Centres of Stralsund and Wismar,2002,0,13.08527778,54.3025,168.0,24,Small,Safe,2000
Cultural,Italy,Europe and North America,<I>Sacri Monti</I> of Piedmont and Lombardy,2003,0,9.169555556,45.97455556,90.5,23,Small,Safe,2000
Cultural,Kazakhstan,Asia and the Pacific,Mausoleum of Khoja Ahmed Yasawi,2003,0,68.27444444,43.29305556,0.55,23,Small,Safe,2000
Cultural,Israel,Europe and North America,White City of Tel-Aviv – the Modern Movement,2003,0,34.78333333,32.06666667,140.4,23,Small,Safe,2000
Natural,China,Asia and the Pacific,Three Parallel Rivers of Yunnan Protected Areas,2003,0,98.40638889,27.895,0.0,23,Small,Safe,2000
Cultural,Sudan,Arab States,Gebel Barkal and the Sites of the Napatan Region,2003,0,31.82802778,18.537,182.5,23,Small,Safe,2000
Natural,Viet Nam,Asia and the Pacific,Phong Nha-Ke Bang National Park,2003,0,106.15125,17.53722222,123326.0,23,Large,Safe,2000
Cultural,Chile,Latin America and the Caribbean,Historic Quarter of the Seaport City of Valparaíso,2003,0,-71.628,-33.04063889,23.2,23,Small,Safe,2000
Cultural,Spain,Europe and North America,Renaissance Monumental Ensembles of Úbeda and Baeza,2003,0,-3.37122,38.01131,9.0,23,Small,Safe,2000
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Takht-e Soleyman,2003,0,47.235,36.60388889,10.0,23,Small,Safe,2000
Cultural,Mexico,Latin America and the Caribbean,Franciscan Missions in the Sierra Gorda of Querétaro,2003,0,-99.46411111,21.20438889,103.7,23,Small,Safe,2000
Cultural,Poland,Europe and North America,Wooden Churches of Southern Małopolska,2003,0,21.23333333,49.75,8.26,23,Small,Safe,2000
Cultural,Afghanistan,Asia and the Pacific,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003,1,67.82525,34.84694,158.9265,23,Small,In Danger,2000
Natural,"Russian Federation,Mongolia","Europe and North America,Asia and the Pacific",Uvs Nuur Basin,2003,0,92.71972222,50.275,898063.5,23,Large,Safe,2000
Cultural,Argentina,Latin America and the Caribbean,Quebrada de Humahuaca,2003,0,-65.34886111,-23.19986111,172116.4375,23,Large,Safe,2000
Cultural,South Africa,Africa,Mapungubwe Cultural Landscape,2003,0,29.23889,-22.1925,28168.6602,23,Medium,Safe,2000
Cultural,India,Asia and the Pacific,Rock Shelters of Bhimbetka,2003,0,77.58333333,22.92777778,1893.0,23,Small,Safe,2000
Natural,Australia,Asia and the Pacific,Purnululu National Park,2003,0,128.5,-17.5,239723.0,23,Large,Safe,2000
Natural,"Italy,Switzerland",Europe and North America,Monte San Giorgio,2003,0,8.913888889,45.88888889,1089.34,23,Small,Safe,2000
Cultural,Iraq,Arab States,Ashur (Qal'at Sherqat),2003,1,43.26111111,35.45666667,70.0,23,Small,In Danger,2000
Cultural,Czechia,Europe and North America,Jewish Quarter and St Procopius' Basilica in Třebíč,2003,0,15.87888889,49.21722222,6.55,23,Small,Safe,2000
Cultural,Russian Federation,Europe and North America,"Citadel, Ancient City and Fortress Buildings of Derbent",2003,0,48.29719444,42.05297222,0.0,23,Small,Safe,2000
Cultural,Zimbabwe,Africa,Matobo Hills,2003,0,28.5,-20.5,205000.0,23,Large,Safe,2000
Cultural,Gambia (the),Africa,Kunta Kinteh Island and Related Sites,2003,0,-16.35719444,13.31616667,7.5981,23,Small,Safe,2000
Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"Royal Botanic Gardens, Kew",2003,0,-0.294027778,51.48194444,132.0,23,Small,Safe,2000
Cultural,Germany,Europe and North America,Town Hall and Roland on the Marketplace of Bremen,2004,0,8.807472222,53.07597222,0.287,22,Small,Safe,2000
Cultural,Mongolia,Asia and the Pacific,Orkhon Valley Cultural Landscape,2004,0,102.8313889,47.55666667,121967.0,22,Large,Safe,2000
Cultural,Togo,Africa,"Koutammakou, the Land of the Batammariba",2004,0,1.133333333,10.06666667,50000.0,22,Medium,Safe,2000
Cultural,Morocco,Arab States,Portuguese City of Mazagan (El Jadida),2004,0,-8.50194,33.25667,7.5,22,Small,Safe,2000
Cultural,Sweden,Europe and North America,"Grimeton Radio Station, Varberg",2004,0,12.38333333,57.1,109.09,22,Small,Safe,2000
Cultural,Mexico,Latin America and the Caribbean,Luis Barragán House and Studio,2004,0,-99.19833333,19.41833333,0.1161,22,Small,Safe,2000
Cultural,Mali,Africa,Tomb of Askia,2004,1,-0.04456,16.2898,4.24,22,Small,In Danger,2000
Cultural,Lithuania,Europe and North America,Kernavė  Archaeological Site (Cultural Reserve of Kernavė),2004,0,24.83055556,54.88777778,194.4,22,Small,Safe,2000
Natural,Indonesia,Asia and the Pacific,Tropical Rainforest Heritage of Sumatra,2004,1,101.5,-2.5,2595124.0,22,Large,In Danger,2000
Cultural,Norway,Europe and North America,Vegaøyan – The Vega Archipelago,2004,0,11.75,65.61667,107294.0,22,Large,Safe,2000
Cultural,Iceland,Europe and North America,Þingvellir National Park,2004,0,-21.03725,64.25380556,9270.0,22,Small,Safe,2000
Cultural,Kazakhstan,Asia and the Pacific,Petroglyphs within the Archaeological Landscape of Tamgaly,2004,0,75.535,43.80333333,900.0,22,Small,Safe,2000
Cultural,Italy,Europe and North America,Val d'Orcia,2004,0,11.55,43.06666667,61187.9609,22,Medium,Safe,2000
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Bam and its Cultural Landscape,2004,0,58.36666667,29.11683,0.0,22,Small,Safe,2000
Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Liverpool – Maritime Mercantile City,2004,1,-2.994444444,53.40666667,136.0,22,Small,In Danger,2000
Cultural,India,Asia and the Pacific,Champaner-Pavagadh Archaeological Park,2004,0,73.53333333,22.48333333,1328.89,22,Small,Safe,2000
Cultural,India,Asia and the Pacific,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),2004,0,72.83620278,18.94012222,2.85,22,Small,Safe,2000
Cultural,Australia,Asia and the Pacific,Royal Exhibition Building and Carlton Gardens,2004,0,144.9702778,-37.80611111,26.0,22,Small,Safe,2000
Cultural,Japan,Asia and the Pacific,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,2004,0,135.7763889,33.83694444,506.4,22,Small,Safe,2000
Natural,Saint Lucia,Latin America and the Caribbean,Pitons Management Area,2004,0,-61.07036111,13.80708333,2909.0,22,Small,Safe,2000
Cultural,Serbia,Europe and North America,Medieval Monuments in Kosovo,2004,1,20.26555556,42.66111111,2.8802,22,Small,In Danger,2000
Cultural,"Germany,Poland",Europe and North America,Muskauer Park / Park Mużakowski,2004,0,14.72644444,51.57930556,348.0,22,Small,Safe,2000
Cultural,Andorra,Europe and North America,Madriu-Perafita-Claror Valley,2004,0,1.595555556,42.49472222,4247.0,22,Small,Safe,2000
Natural,Russian Federation,Europe and North America,Natural System of Wrangel Island Reserve,2004,0,-179.7152778,71.18888889,1916300.0,22,Large,Safe,2000
Cultural,Russian Federation,Europe and North America,Ensemble of the Novodevichy Convent,2004,0,37.55508333,55.72611111,5.18,22,Small,Safe,2000
Cultural,Democratic People's Republic of Korea,Asia and the Pacific,Complex of Koguryo Tombs,2004,0,125.415,38.86305556,232.9,22,Small,Safe,2000
Natural,South Africa,Africa,Cape Floral Region Protected Areas,2004,0,18.475,-34.36111111,1094742.0,22,Large,Safe,2000
Cultural,Italy,Europe and North America,Etruscan Necropolises of Cerveteri and Tarquinia,2004,0,12.10188889,42.00683333,326.93,22,Small,Safe,2000
Cultural,China,Asia and the Pacific,Capital Cities and Tombs of the Ancient Koguryo Kingdom,2004,0,126.1872222,41.15694444,4164.8599,22,Small,Safe,2000
Cultural,Jordan,Arab States,Um er-Rasas (Kastrom Mefa'a),2004,0,35.92056,31.50167,23.928,22,Small,Safe,2000
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Pasargadae,2004,0,53.16729,30.19383,159.65,22,Small,Safe,2000
Natural,Denmark,Europe and North America,Ilulissat Icefjord,2004,0,-49.5,69.13333333,402400.0,22,Large,Safe,2000
Cultural,Portugal,Europe and North America,Landscape of the Pico Island Vineyard Culture,2004,0,-28.54116667,38.51344444,987.0,22,Small,Safe,2000
Natural,Egypt,Arab States,Wadi Al-Hitan (Whale Valley),2005,0,30.18333,29.33333,20015.0,21,Medium,Safe,2000
Cultural,Bahrain,Arab States,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,2005,0,50.52722222,26.23306,70.4,21,Small,Safe,2000
Cultural,Albania,Europe and North America,Historic Centres of Berat and Gjirokastra ,2005,0,20.13333333,40.06944444,58.9,21,Small,Safe,2000
Cultural,China,Asia and the Pacific,Historic Centre of Macao,2005,0,113.5364611,22.19129194,16.1678,21,Small,Safe,2000
Cultural,Chile,Latin America and the Caribbean,Humberstone and Santa Laura Saltpeter Works,2005,0,-69.79406,-20.20582,573.48,21,Small,Safe,2000
Natural,Norway,Europe and North America,West Norwegian Fjords – Geirangerfjord and Nærøyfjord,2005,0,7.16667,62.11667,0.0,21,Small,Safe,2000
Cultural,Italy,Europe and North America,Syracuse and the Rocky Necropolis of Pantalica,2005,0,15.29306,37.05944,898.46,21,Small,Safe,2000
Natural,Thailand,Asia and the Pacific,Dong Phayayen-Khao Yai Forest Complex,2005,0,102.05,14.33,615500.0,21,Large,Safe,2000
Cultural,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",Europe and North America,Struve Geodetic Arc,2005,0,26.33777778,59.05777778,0.0,21,Small,Safe,2000
Natural,Mexico,Latin America and the Caribbean,Islands and Protected Areas of the Gulf of California,2005,1,-112.54583,27.62667,688558.0,21,Large,In Danger,2000
Cultural,Russian Federation,Europe and North America,Historical Centre of the City of Yaroslavl,2005,0,39.87611,57.65278,110.0,21,Small,Safe,2000
Cultural,Bosnia and Herzegovina,Europe and North America,Old Bridge Area of the Old City of Mostar,2005,0,17.81092,43.34812,7.6,21,Small,Safe,2000
Cultural,Israel,Europe and North America,"Biblical Tels - Megiddo, Hazor, Beer Sheba",2005,0,35.18222,32.59722,96.04,21,Small,Safe,2000
Cultural,Belgium,Europe and North America,Plantin-Moretus House-Workshops-Museum Complex,2005,0,4.39778,51.21833,0.23,21,Small,Safe,2000
Cultural,Belarus,Europe and North America,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",2005,0,26.69139,53.22278,0.0,21,Small,Safe,2000
Cultural,France,Europe and North America,"Le Havre, the City Rebuilt by Auguste Perret",2005,0,0.1075,49.49278,133.0,21,Small,Safe,2000
Natural,Panama,Latin America and the Caribbean,Coiba National Park and its Special Zone of Marine Protection,2005,0,-81.766,7.433,270125.0,21,Large,Safe,2000
Cultural,Israel,Europe and North America,Incense Route - Desert Cities in the Negev,2005,0,35.16083,30.54111,6655.0,21,Small,Safe,2000
Cultural,Nigeria,Africa,Osun-Osogbo Sacred Grove,2005,0,4.55222,7.75556,75.0,21,Small,Safe,2000
Natural,South Africa,Africa,Vredefort Dome,2005,0,27.26,-26.86,30000.0,21,Medium,Safe,2000
Cultural,Turkmenistan,Asia and the Pacific,Kunya-Urgench,2005,0,59.08494,42.18318,0.0,21,Small,Safe,2000
Natural,Japan,Asia and the Pacific,Shiretoko,2005,0,144.96583,43.94944,71100.0,21,Medium,Safe,2000
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Soltaniyeh,2005,0,48.79667,36.43528,790.14,21,Small,Safe,2000
Cultural,Cuba,Latin America and the Caribbean,Urban Historic Centre of Cienfuegos ,2005,0,-80.45278,22.14722,70.0,21,Small,Safe,2000
Cultural,China,Asia and the Pacific,Yin Xu,2006,0,114.3138889,36.12666667,414.0,20,Small,Safe,2000
Cultural,Ethiopia,Africa,"Harar Jugol, the Fortified Historic Town",2006,0,42.13777778,9.308888889,48.0,20,Small,Safe,2000
Cultural,Mexico,Latin America and the Caribbean,Agave Landscape and Ancient Industrial Facilities of Tequila,2006,0,-103.7786111,20.86305556,35018.852,20,Medium,Safe,2000
Cultural,United Republic of Tanzania,Africa,Kondoa Rock-Art Sites,2006,0,35.83388889,-4.724444444,233600.0,20,Large,Safe,2000
Cultural,Malawi,Africa,Chongoni Rock-Art Area,2006,0,34.27916667,-14.29333333,12640.0,20,Medium,Safe,2000
Natural,China,Asia and the Pacific,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",2006,0,103.0,30.83333333,924500.0,20,Large,Safe,2000
Cultural,Oman,Arab States,<i>Aflaj</i> Irrigation Systems of Oman,2006,0,57.53605556,22.99888889,1455.949,20,Small,Safe,2000
Cultural,Spain,Europe and North America,Vizcaya Bridge,2006,0,-3.016833333,43.323175,0.8595,20,Small,Safe,2000
Cultural,Chile,Latin America and the Caribbean,Sewell Mining Town,2006,0,-70.38277778,-34.08444444,17.2,20,Small,Safe,2000
Cultural,Syrian Arab Republic,Arab States,Crac des Chevaliers and Qal’at Salah El-Din,2006,1,36.26305556,34.78166667,8.87,20,Small,In Danger,2000
Cultural,Poland,Europe and North America,Centennial Hall in Wrocław,2006,0,17.07701389,51.10694722,36.69,20,Small,Safe,2000
Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cornwall and West Devon Mining Landscape,2006,0,-5.383611111,50.13611111,19719.0,20,Medium,Safe,2000
Cultural,Mauritius,Africa,Aapravasi Ghat,2006,0,57.50316667,-20.15863889,0.164,20,Small,Safe,2000
Cultural,Italy,Europe and North America,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,2006,0,8.931111111,44.41222222,15.777,20,Small,Safe,2000
Cultural,Iran (Islamic Republic of),Asia and the Pacific,Bisotun,2006,0,47.43666667,34.38833333,187.0,20,Small,Safe,2000
Natural,Colombia,Latin America and the Caribbean,Malpelo Fauna and Flora Sanctuary,2006,0,-81.61666667,3.966666667,857500.0,20,Large,Safe,2000
Cultural,Germany,Europe and North America,Old town of Regensburg with Stadtamhof,2006,0,12.09916667,49.02055556,182.8,20,Small,Safe,2000
Cultural,"Gambia (the),Senegal",Africa,Stone Circles of Senegambia,2006,0,-15.5225,13.69111111,9.85,20,Small,Safe,2000
Cultural,Iraq,Arab States,Samarra Archaeological City,2007,1,43.82354306,34.34098944,15058.0,19,Medium,In Danger,2000
Natural,"Albania,Austria,Belgium,Bulgaria,Croatia,Germany,Italy,Romania,Slovakia,Slovenia,Spain,Ukraine",Europe and North America,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,2007,0,22.33888889,49.00972222,92023.24,19,Medium,Safe,2000
Cultural,Serbia,Europe and North America,"Gamzigrad-Romuliana, Palace of Galerius",2007,0,22.18611111,43.89930556,179.217,19,Small,Safe,2000
Cultural,Japan,Asia and the Pacific,Iwami Ginzan Silver Mine and its Cultural Landscape,2007,0,132.435,35.11277778,529.17,19,Small,Safe,2000
Cultural,Bosnia and Herzegovina,Europe and North America,Mehmed Paša Sokolović Bridge in Višegrad,2007,0,19.288025,43.78144444,1.5,19,Small,Safe,2000
Natural,Republic of Korea,Asia and the Pacific,Jeju Volcanic Island and Lava Tubes,2007,0,126.7202778,33.46888889,9521.8,19,Small,Safe,2000
Cultural,Azerbaijan,Europe and North America,Gobustan Rock Art Cultural Landscape,2007,0,49.375,40.125,537.22,19,Small,Safe,2000
Cultural,Turkmenistan,Asia and the Pacific,Parthian Fortresses of Nisa,2007,0,58.19861111,37.99972222,77.905,19,Small,Safe,2000
Cultural,India,Asia and the Pacific,Red Fort Complex,2007,0,77.24083333,28.65555556,49.1815,19,Small,Safe,2000
Natural,Spain,Europe and North America,Teide National Park,2007,0,-16.64361111,28.27138889,18990.0,19,Medium,Safe,2000
Cultural,France,Europe and North America,"Bordeaux, Port of the Moon",2007,0,-0.572222222,44.83888889,1731.0,19,Small,Safe,2000
Cultural,Mexico,Latin America and the Caribbean,Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),2007,0,-99.18805556,19.33222222,176.5,19,Small,Safe,2000
